进场日期,车号,进场状态 ,提单号,箱号,船名,航次,箱型,尺寸,空重,铅封/计划/车号,进场原因,结费,车队,车队电话,进场操作员,备注,落箱条,来源,司机,船公司,进场箱况,堆场号,场位,进场验箱人,危险品级别,UN号,货名,协议价格,进出场状态,超高,超宽,箱主,寄单,插电时间,拔电时间,是否运抵,码头代码
2021-02-15 09:08:14,津C55603,进场,292910793,MRKU7796700,MARITMAERSK,107W,20,GP,重,CN1656465,代集港,现结,15022301718,,孙立军,,,,,,,,2,,,,,,进场,,,,否,,,否,TPCT
2021-02-15 09:06:46,津C57920,进场,177GYCYCXMNN0706,TGBU9881001,MARITMAERSK,107W,40,HC,重,FX16388158,代集港,现结,15022301718,,孙立军,,,,,,,,2,,,,,,进场,,,,否,,,否,TPCT
2021-02-15 09:05:50,津C57623,进场,177GYCYCXMNN0706,MSCU5114960,MARITMAERSK,107W,40,HC,重,FX16386203,代集港,现结,15022301718,,孙立军,,,,,,,,2,,,,,,进场,,,,否,,,否,TPCT
2021-02-15 09:03:06,津C57052,进场,177GYCYCXMNN0706,TGBU9874595,MARITMAERSK,107W,40,HC,重,FX16386157,代集港,现结,15022301718,,孙立军,,,,,,,,2,,,,,,进场,,,,否,,,否,TPCT
